Number	Proteins	avg_spearman	size	avg_spearman_random	significant	large
0	{'O97285', 'Q8IIV1', 'Q8IET7', 'Q8I5H4', 'C6KSV0', 'Q8IKF0', 'K7NTP5', 'Q8IBV7', 'Q8IKG9', 'C6KT18', 'Q8I0V2', 'Q8IK89', 'Q8I0P6', 'Q8IIV2', 'Q8IB24', 'Q8I5L6'}	0.2466666666666666	16	0.3772522117146938	False	True
1	{'Q8I261', 'Q8I0U7', 'Q7K6A9', 'C6KT34', 'A0A5K1K7U1', 'Q8IC01', 'Q8IJT1', 'O77396', 'Q8IE84', 'Q8IKJ0', 'Q8I280', 'Q8IDG2', 'Q8IBI3', 'Q6ZMA8', 'Q8IK90', 'Q8IEK1', 'C6KST3', 'Q8I2X4', 'Q8II43', 'Q76NM6', 'Q8IDG3', 'Q8IAR3', 'Q8IJN9', 'Q8I2H3'}	0.6979813664596272	24	0.377578360240562	True	True
2	{'O96252', 'Q8IES0', 'A0A143ZY58', 'C6KTA4', 'Q8I0V2', 'Q8ILA1', 'Q8IET7', 'Q8IKF0', 'Q76NM3', 'Q8IB03', 'Q8IJW0', 'O97285', 'C6KSX4', 'K7NTP5', 'Q8I1V1', 'Q8IIJ8', 'Q8IFP3', 'Q8I289', 'Q8IIV8', 'Q8IKK7', 'O96153', 'Q8IEC8', 'O97247', 'Q8I0P6', 'Q7KQL5', 'Q8IKR1'}	0.3921193131962221	26	0.3892008728299898	True	True
3	{'Q76NN6', 'Q8I608', 'Q8I2W3', 'Q8II61', 'Q8I5B6', 'Q8IM55', 'Q8ILB6', 'Q8ILI6'}	0.5203377902885291	8	0.3964756431250307	True	True
4	{'A0A144A2H0', 'Q7KQM0', 'Q8IDZ8', 'Q8II24'}	0.7778325123152708	4	0.372795275871798	True	True
5	{'Q8IDN6', 'Q8IEC8', 'Q8ILV6', 'Q8I2W2'}	0.8353037766830869	4	0.3719450309463972	True	True
6	{'Q8I261', 'Q8I0U7', 'Q7K6A9', 'C6KT34', 'A0A5K1K7U1', 'Q8IC01', 'Q8IJT1', 'Q8II36', 'O77396', 'Q8IKJ0', 'Q8IDG2', 'Q8IBI3', 'Q6ZMA8', 'O97227', 'C0H5H0', 'Q8IK90', 'Q8IEK1', 'C6KST3', 'Q8I2X4', 'Q8II43', 'Q76NM6', 'Q8IDG3', 'Q8IAR3', 'Q8IJN9'}	0.7028503605340185	24	0.38149709558440653	True	True
7	{'Q8IAV1', 'Q8ILZ1', 'Q8IBN4', 'Q8I395', 'Q8I484', 'Q8IEU2', 'O77310', 'Q8IKC8', 'Q8I4R5', 'C0H571', 'Q8I485'}	0.4704677758851555	11	0.38280338516391166	True	True
8	{'C6KT50', 'Q8IJN7', 'Q7KQL9'}	0.641215106732348	3	0.38782983500073553	True	True
9	{'Q8I0X1', 'Q8IEJ6', 'O97227', 'P61074', 'Q8ILB6'}	0.6566995073891624	5	0.36982220624877	True	True
10	{'Q8II24', 'A0A144A2H0', 'C0H4V6', 'Q8IDZ8', 'Q8IKF0', 'Q8IC05', 'Q8I0V4', 'Q8IK89', 'Q8IB24'}	0.5849890530925013	9	0.38822054475263096	True	True
11	{'Q8I2I2', 'Q8I3N3', 'Q8IL75', 'Q8IKI8', 'Q8I2N1'}	0.6033004926108374	5	0.39130623108627005	True	True
12	{'Q8IEI6', 'Q8IDG9', 'Q8I490'}	0.7287356321839079	3	0.3983963083840322	True	True
13	{'Q8IEA6', 'Q8IJ34', 'Q8I6S5'}	0.2910886749062169	3	0.37413723651718167	False	True
14	{'Q8IJX3', 'Q8IIV1', 'Q8I5H4', 'C6KSV0', 'K7NTP5', 'Q8IBV7', 'Q8I608', 'C6KT18', 'Q8I0V2', 'Q8IJX8', 'Q8IK89', 'Q8IIV2', 'Q8IAX8', 'Q8IB24'}	0.27705840957072475	14	0.3891589091157644	False	True
15	{'Q8IIX5', 'Q8I2F4', 'Q8IDG9', 'Q8I490', 'Q8IFM0', 'Q8I206'}	0.6330049261083742	6	0.38333517237949855	True	True
16	{'Q8I2J3', 'Q8IJN9', 'Q8II24', 'Q8IEK1', 'Q8IDG2', 'Q8IC01', 'Q8II36', 'Q8I2X4', 'O97227', 'C0H5H0'}	0.5746360153256703	10	0.3892915235902283	True	True
17	{'A0A5K1K8H7', 'Q8IHR8', 'Q76NM4', 'Q8I3W9'}	0.5683908045977011	4	0.4009076283550846	True	True
18	{'O96252', 'Q8IES0', 'Q8I5H4', 'C6KTA4', 'Q8I0V2', 'Q8IK89', 'Q8IET7', 'Q8IKF0', 'Q8IB03', 'Q8IJW0', 'O97285', 'K7NTP5', 'Q8I1V1', 'Q8IIJ8', 'Q8IFP3', 'Q8I289', 'O96153', 'O97247', 'Q8I0P6', 'Q7KQL5', 'Q8IKR1'}	0.35646913958386844	21	0.37897166857659625	False	True
19	{'C6KTB3', 'Q8I3M5', 'O77312'}	0.879310344827586	3	0.36686577108274526	True	True
20	{'Q76NN6', 'C0H4V6', 'Q8I608', 'Q8I2W3', 'Q8II61', 'O97320', 'Q8IM55', 'P61074', 'Q8ILB6', 'Q8ILI6'}	0.47432950191570866	10	0.38006064098510545	True	True
21	{'Q76NN6', 'Q8I0X1', 'Q8I608', 'Q8I2W3', 'Q8II61', 'P61074', 'Q8ILB6', 'Q8ILI6', 'Q7KQK6'}	0.4458538587848931	9	0.3946714241807496	True	True
22	{'Q8I2V9', 'C0H4Y6'}	0.33300492610837434	2	0.46095151969353587	False	False
23	{'C0H4D2', 'Q8IM57'}	0.7709359605911329	2	0.3556393348270732	True	False
24	{'O96252', 'O97285', 'Q8I5H4', 'Q8IBD1', 'Q8IKF0', 'K7NTP5', 'Q8IKG9', 'Q76NN8', 'Q8I0V2', 'Q8I5A9', 'Q8IK89', 'Q8IB24', 'Q8I5L6'}	0.3139509915371983	13	0.39116275565681385	False	True
25	{'Q8I492', 'O96127'}	0.9236453201970442	2	0.3780982241026746	True	False
26	{'Q8IIF0', 'A0A5K1K7X4'}	0.8059113300492609	2	0.3804678447411006	True	False
27	{'Q8IJX3', 'Q8IIV1', 'Q8I5H4', 'C6KSV0', 'Q8IBV7', 'C6KT18', 'Q8IIV2', 'Q8IAX8', 'Q8ILG8'}	0.28553639846743295	9	0.3612150484949986	False	True
28	{'Q8I2J3', 'Q8IEK1', 'Q7K6A5', 'Q8IC01', 'Q8II36', 'Q8I2X4', 'O97227'}	0.472812573305184	7	0.38932915845413574	True	True
29	{'Q8IDN0', 'A0A5K1K8W5'}	0.5900185962833734	2	0.3858419310742373	True	False
30	{'Q8IJX3', 'Q8IIV1', 'Q8I5H4', 'Q8IM01', 'C6KSV0', 'Q8IBV7', 'C6KT18', 'Q8IIV2', 'Q8IAX8'}	0.2777367268746579	9	0.38577657788708924	False	True
31	{'Q8IJM9', 'Q8IFM9'}	0.6832512315270934	2	0.39508812041255675	True	False
32	{'Q7KWJ2', 'A0A143ZX41'}	0.8133004926108373	2	0.4176619181700857	True	False
